tbl,idx,stat
"secret_dungeon_quest_data","secret_dungeon_quest_data_0_dungeon_area_id_1_difficulty","50 50 10"
"secret_dungeon_quest_data","secret_dungeon_quest_data_0_dungeon_area_id_1_floor_num","50 50 5"
"arena_max_rank_reward",NULL,"79"
"birthday_login_bonus_drama_script","birthday_login_bonus_drama_script_0_drama_id","1001 59"
"growth_restriction_unit","growth_restriction_unit_0_growth_id","11 1"
"pct_combo_coefficient",NULL,"6"
"campaign_freegacha_data",NULL,"56"
"actual_unit_background",NULL,"187"
"room_effect_reward_get","sqlite_autoindex_room_effect_reward_get_1","105 9 1"
"voice_group",NULL,"304"
"wac_present_still_data","sqlite_autoindex_wac_present_still_data_1","3 3 1"
"clan_battle_period","clan_battle_period_0_clan_battle_id","38 1"
"clan_battle_period","sqlite_autoindex_clan_battle_period_1","38 1 1"
"room_chat_scenario","room_chat_scenario_0_id","313 9"
"room_chat_scenario","sqlite_autoindex_room_chat_scenario_1","313 9 1"
"login_bonus_detail","login_bonus_detail_0_login_bonus_id_1_count","235 10 2"
"unit_status_coefficient",NULL,"1"
"cgg_drama","cgg_drama_0_drama_id","777 44"
"ttk_story","ttk_story_0_ttk_score","5 1"
"sekai_schedule",NULL,"2"
"prizegacha_data",NULL,"67"
"clan_battle_last_attack_reward",NULL,"3"
"clan_battle_schedule",NULL,"38"
"growth_parameter",NULL,"13"
"unit_background",NULL,"194"
"space_top_data","space_top_data_0_story_id","8 2"
"space_top_data","space_top_data_0_space_id","8 8"
"ysn_story_data","ysn_story_data_0_original_event_id","135 68"
"hatsune_diary_data","hatsune_diary_data_0_contents_type","17 9"
"secret_dungeon_emblem_mission",NULL,"5"
"grand_arena_daily_rank_reward",NULL,"40"
"room_effect",NULL,"26"
"room_chat_info",NULL,"35"
"unit_skill_data",NULL,"1384"
"psy_drama_script","psy_drama_script_0_drama_id","667 61"
"pkb_batter_condition",NULL,"9"
"lto_letter_script","lto_letter_script_0_letter_id","54 54"
"clan_battle_archive_clan_rank",NULL,"14"
"dungeon_special_enemy_setting","dungeon_special_enemy_setting_0_special_battle_id","5 2"
"dungeon_special_enemy_setting","dungeon_special_enemy_setting_0_special_battle_id_1_enemy_identify","5 2 1"
"dungeon_special_enemy_setting","sqlite_autoindex_dungeon_special_enemy_setting_1","5 2 1"
"album_production_list","album_production_list_0_unit_id","1767 10"
"still","still_0_still_group_id","1226 5"
"still","still_0_story_id","1226 2"
"special_story_banner","special_story_banner_0_story_group_id","1 1"
"seasonpass_mission_reward_data","seasonpass_mission_reward_data_0_mission_reward_id","18 2"
"shiori_boss_condition",NULL,"81"
"special_still",NULL,"2"
"voice_group_chara",NULL,"253"
"dear_story_detail","dear_story_detail_0_story_group_id","438 26"
"dear_story_detail","dear_story_detail_0_story_group_id_1_chara_index","438 26 9"
"nyx_story_data","nyx_story_data_0_story_phase","15 5"
"nyx_story_data","nyx_story_data_0_story_seq","15 1"
"clan_battle_s_boss_data",NULL,"255"
"clan_battle_2_map_data","clan_battle_2_map_data_0_clan_battle_id","232 5"
"love_rankup","love_rankup_0_unit_id","25 7"
"love_rankup","sqlite_autoindex_love_rankup_1","25 7 1"
"story_data",NULL,"200"
"taq_game_setting",NULL,"1"
"kaiser_special_battle",NULL,"3"
"pkb_pitcher_ball_type","pkb_pitcher_ball_type_0_pitcher_id","17 5"
"pkb_pitcher_ball_type","sqlite_autoindex_pkb_pitcher_ball_type_1","17 5 1"
"hatsune_present","hatsune_present_0_event_id","6 1"
"clan_cost_group",NULL,"6"
"navi_comment",NULL,"87"
"metamorphose","metamorphose_0_type_id","4 2"
"metamorphose","sqlite_autoindex_metamorphose_1","4 2 1"
"taq_necessary_word",NULL,"113"
"srt_reward",NULL,"15"
"event_reminder","event_reminder_0_event_id","7 2"
"event_revival_wave_group_data",NULL,"4518"
"shiori_stationary_mission_data",NULL,"322"
"campaign_freegacha_sp",NULL,"1"
"story_quest_data",NULL,"14"
"ub_auto_define",NULL,"240"
"spskill_label_data",NULL,"5"
"trial_battle_reward_data",NULL,"25"
"taq_drama_script","taq_drama_script_0_drama_id","30 6"
"hatsune_diary_script","hatsune_diary_script_0_diary_id","427 31"
"gift_message",NULL,"122"
"skill_action",NULL,"8828"
"kaiser_extermination_reward",NULL,"4"
"emblem_data",NULL,"645"
"vote_unit","sqlite_autoindex_vote_unit_1","55 55 1"
"pct_itempoint","pct_itempoint_0_item_id","3 1"
"hatsune_diary_setting",NULL,"1"
"hatsune_quest","hatsune_quest_0_event_id","1300 20"
"room_unit_comments","room_unit_comments_0_unit_id","5652 24"
"room_unit_comments","sqlite_autoindex_room_unit_comments_1","5652 24 8 2 1"
"tower_story_detail",NULL,"102"
"quest_annihilation","sqlite_autoindex_quest_annihilation_1","28 28 1"
"pkb_drama_data",NULL,"38"
"srt_score",NULL,"3"
"hatsune_daily_mission_data",NULL,"127"
"room_exclusive_condition","room_exclusive_condition_0_room_item_id","1 1"
"room_exclusive_condition","room_exclusive_condition_0_unit_id","1 1"
"login_bonus_message_data","login_bonus_message_data_0_login_bonus_id","545 78"
"rarity_6_quest_data","rarity_6_quest_data_0_rarity_6_quest_id","27 1"
"shiori_enemy_parameter",NULL,"3769"
"goldset_data",NULL,"70"
"sekai_add_times_data",NULL,"12"
"clan_battle_s_map_data","clan_battle_s_map_data_0_clan_battle_id","186 4"
"unit_unique_equip",NULL,"109"
"story_detail",NULL,"1314"
"content_map_data",NULL,"5"
"odds_name_data",NULL,"197"
"hatsune_series_gacha_reference",NULL,"1"
"hatsune_special_boss_ticket_count",NULL,"1"
"sekai_boss_mode",NULL,"12"
"gacha_data","gacha_data_0_exchange_id","427 4"
"room_character_skin_color",NULL,"197"
"room_item_detail","room_item_detail_0_lvup_trigger_type_2_1_lvup_trigger_id_2","574 574 574"
"room_item_detail","room_item_detail_0_lvup_trigger_type_1_lvup_trigger_id","574 287 287"
"room_item_detail","sqlite_autoindex_room_item_detail_1","574 2 1"
"quest_defeat_notice",NULL,"6"
"space_battle_data",NULL,"1"
"space_schedule",NULL,"1"
"pct_evaluation",NULL,"5"
"uek_spine_anim_link","uek_spine_anim_link_0_anim_num","50 13"
"hatsune_multi_route_parameter","hatsune_multi_route_parameter_0_type","20 5"
"hatsune_multi_route_parameter","hatsune_multi_route_parameter_0_quest_id","20 2"
"hatsune_boss_condition",NULL,"279"
"sekai_enemy_parameter",NULL,"6"
"clan_battle_period_rank_reward",NULL,"570"
"event_story_detail","event_story_detail_0_story_group_id","330 9"
"worldmap",NULL,"4"
"training_quest_data",NULL,"22"
"taq_good_unit",NULL,"184"
"event_reminder_condition","event_reminder_condition_0_reminder_id","7 1"
"unit_introduction","unit_introduction_0_gacha_id","123 1"
"quest_reward_data",NULL,"4433"
"quest_data",NULL,"1007"
"emblem_mission_reward_data","emblem_mission_reward_data_0_reward_id","927 2"
"emblem_mission_reward_data","emblem_mission_reward_data_0_mission_reward_id","927 2"
"psy_reward",NULL,"11"
"tower_quest_fix_reward_group",NULL,"725"
"svd_story_data","svd_story_data_0_original_event_id","20 20"
"hatsune_special_mission_data",NULL,"379"
"sekai_unlock_story_condition",NULL,"5"
"dungeon_quest_data","dungeon_quest_data_0_dungeon_area_id","52 7"
"dungeon_quest_data","dungeon_quest_data_0_dungeon_area_id_1_floor_num","52 7 1"
"campaign_mission_reward_data","campaign_mission_reward_data_0_campaign_mission_reward_id","24 2"
"wac_data","wac_data_0_mural_group_id","136 28"
"wac_data","sqlite_autoindex_wac_data_1","136 136 1"
"emblem_mission_data",NULL,"544"
"pct_gaming_motion",NULL,"8"
"dear_reward","dear_reward_0_event_id_1_chara_index","325 14 5"
"shiori_mission_reward_data","shiori_mission_reward_data_0_mission_reward_id","1233 2"
"hatsune_unlock_unit_condition","hatsune_unlock_unit_condition_0_condition_mission_id","53 1"
"hatsune_unlock_unit_condition","hatsune_unlock_unit_condition_0_unit_id_1_event_id","53 2 1"
"room_chat_formation",NULL,"10"
"campaign_mission_data","campaign_mission_data_0_campaign_id_1_type","28 14 7"
"campaign_mission_data","campaign_mission_data_0_campaign_id","28 14"
"taq_incorrect_word",NULL,"5"
"hatsune_relay_data",NULL,"48"
"prizegacha_sp_data","prizegacha_sp_data_0_gacha_id","10 10"
"prizegacha_sp_data","sqlite_autoindex_prizegacha_sp_data_1","10 10 1"
"custom_mypage_group",NULL,"14"
"album_voice_list","album_voice_list_0_unit_id","3182 37"
"season_pack","season_pack_0_mission_id","27 5"
"kaiser_add_times_data",NULL,"192"
"pct_reward","pct_reward_0_pct_point_type","15 5"
"uek_drama","uek_drama_0_drama_id","379 10"
"shiori_quest","shiori_quest_0_drop_reward_id","280 10"
"shiori_quest","shiori_quest_0_event_id","280 20"
"sekai_boss_fix_reward",NULL,"10"
"clan_battle_boss_fix_reward",NULL,"40"
"room_setup",NULL,"397"
"sp_battle_voice","sp_battle_voice_0_unit_id","40 14"
"sp_battle_voice","sqlite_autoindex_sp_battle_voice_1","40 1 1"
"event_navi_comment",NULL,"1208"
"thumbnail_hide_condition",NULL,"2"
"cooperation_quest_data",NULL,"6"
"chara_e_ticket_data","chara_e_ticket_data_0_jewel_store_id","2 1"
"seasonpass_mission_data",NULL,"67"
"seasonpass_foundation",NULL,"1"
"fke_happening_list",NULL,"20"
"tme_map_data","tme_map_data_0_event_id","12 12"
"uek_mission",NULL,"16"
"glossary_detail",NULL,"81"
"position_setting",NULL,"1"
"music_list",NULL,"170"
"event_top_adv","event_top_adv_0_event_id_1_type","796 12 4"
"shiori_boss","shiori_boss_0_wave_group_id_1","42 1"
"shiori_boss","shiori_boss_0_event_id_1_difficulty","42 3 1"
"shiori_boss","shiori_boss_0_event_id","42 3"
"hatsune_bg_change_data","hatsune_bg_change_data_0_target_type_1_area_id","55 28 2"
"gacha_exchange_lineup","gacha_exchange_lineup_0_exchange_id","236 2"
"campaign_schedule",NULL,"791"
"unit_rarity","unit_rarity_0_unit_material_id","1107 6"
"unit_rarity","unit_rarity_0_unit_id","1107 6"
"unit_rarity","sqlite_autoindex_unit_rarity_1","1107 6 1"
"enemy_parameter",NULL,"12568"
"tower_enemy_parameter",NULL,"3853"
"ticket_gacha_data",NULL,"1"
"sp_lose_voice_group","sqlite_autoindex_sp_lose_voice_group_1","19 1 1"
"content_release_data",NULL,"38"
"cgg_goods_data",NULL,"63"
"tower_cloister_quest_data",NULL,"31"
"hatsune_bg_change",NULL,"2"
"custom_mypage","custom_mypage_0_still_group_id","210 210"
"guild",NULL,"18"
"mission_reward_data","mission_reward_data_0_mission_reward_id","709 4"
"music_content",NULL,"224"
"tower_ex_quest_data","tower_ex_quest_data_0_floor_num","32 1"
"event_enemy_parameter",NULL,"3764"
"shiori_description","shiori_description_0_type","9 1"
"shiori_quest_area","shiori_quest_area_0_event_id","32 3"
"room_emotion_icon",NULL,"18"
"spskill_lv_initialize_data",NULL,"9"
"return_specialfes_banner",NULL,"16"
"arcade_list",NULL,"6"
"kaiser_schedule",NULL,"1"
"pkb_drama","pkb_drama_0_drama_id","429 12"
"tower_quest_data","tower_quest_data_0_floor_num","530 1"
"svd_drama_script","svd_drama_script_0_drama_id","703 88"
"minigame","minigame_0_event_id","6 1"
"event_series_wave_group_data",NULL,"4518"
"clan_battle_period_lap_reward",NULL,"321"
"clan_battle_2_boss_data",NULL,"255"
"room_skin_color",NULL,"3"
"resist_data",NULL,"47"
"taq_unit",NULL,"72"
"serial_code_data",NULL,"9"
"pct_system_fruits",NULL,"1"
"pct_system",NULL,"1"
"hatsune_quest_condition","hatsune_quest_condition_0_event_id","1880 20"
"login_bonus_adv","login_bonus_adv_0_login_bonus_id","32 5"
"unit_pos_adjustment",NULL,"3"
"taq_data",NULL,"1229"
"nyx_drama_script","nyx_drama_script_0_drama_id","735 74"
"hatsune_special_enemy",NULL,"236"
"hatsune_map",NULL,"14"
"room_item_announcement",NULL,"1"
"enemy_m_parts",NULL,"267"
"wac_birthday_drama_script","wac_birthday_drama_script_0_drama_id","1052 76"
"cgg_completion_data",NULL,"5"
"ttk_story_script","ttk_story_script_0_story_id","227 46"
"chara_fortune_reward",NULL,"32"
"experience_unit",NULL,"197"
"vote_data",NULL,"1"
"dungeon_special_battle","dungeon_special_battle_0_quest_id","3 3"
"dungeon_special_battle","dungeon_special_battle_0_quest_id_1_mode","3 3 1"
"event_story_data","event_story_data_0_value","40 1"
"campaign_mission_schedule",NULL,"2"
"equipment_craft",NULL,"395"
"shiori_wave_group_data",NULL,"1620"
"hatsune_stationary_mission_data","hatsune_stationary_mission_data_0_event_id","2088 32"
"clan_battle_archive_person_rank",NULL,"6"
"unlock_rarity_6","unlock_rarity_6_0_material_id","189 4"
"unlock_rarity_6","unlock_rarity_6_0_unit_id_1_unlock_level","189 7 2"
"unlock_rarity_6","unlock_rarity_6_0_unit_id_1_slot_id","189 7 3"
"unlock_rarity_6","unlock_rarity_6_0_unit_id","189 7"
"unlock_rarity_6","sqlite_autoindex_unlock_rarity_6_1","189 7 3 1"
"item_e_ticket_data","item_e_ticket_data_0_exchange_number","48 12"
"item_e_ticket_data","item_e_ticket_data_0_ticket_id","48 3"
"item_e_ticket_data","sqlite_autoindex_item_e_ticket_data_1","48 3 1"
"unique_equipment_craft",NULL,"147"
"pkb_reward",NULL,"14"
"event_revival_series_wave_group_data",NULL,"4518"
"clan_battle_odds_data","clan_battle_odds_data_0_odds_group_id","30 6"
"clan_battle_odds_data","sqlite_autoindex_clan_battle_odds_data_1","30 6 1 1"
"unit_data",NULL,"201"
"ailment_data",NULL,"40"
"kmk_reward",NULL,"15"
"pct_tap_speed",NULL,"8"
"nop_drama_script","nop_drama_script_0_drama_id","2293 26"
"skip_monster_data",NULL,"3546"
"quest_condition_data",NULL,"1026"
"enemy_enable_voice",NULL,"95"
"clanprofile_content",NULL,"35"
"enemy_reward_data",NULL,"3949"
"dungeon_skip_data",NULL,"8"
"room_item",NULL,"459"
"svd_story_script","svd_story_script_0_story_id","262 27"
"clan_battle_training_data","clan_battle_training_data_0_training_id","70 5"
"skill_cost",NULL,"245"
"notif_data","notif_data_0_unit_id","1152 6"
"notif_data","sqlite_autoindex_notif_data_1","1152 6 1"
"arcade_story_list","arcade_story_list_0_arcade_id","17 4"
"omp_story_data","omp_story_data_0_story_seq","15 1"
"omp_story_data","omp_story_data_0_event_id","15 8"
"uek_boss","uek_boss_0_enemy_id","4 1"
"unlock_skill_data",NULL,"4"
"myprofile_content",NULL,"24"
"taq_kanji_list",NULL,"1006"
"cgg_gacha_info","cgg_gacha_info_0_cgg_id","3 3"
"kaiser_quest_data",NULL,"5"
"vote_info","sqlite_autoindex_vote_info_1","3 3 1"
"tower_schedule","tower_schedule_0_opening_story_id","32 1"
"event_enemy_reward_group",NULL,"137"
"hatsune_diary_letter_script","hatsune_diary_letter_script_0_diary_id","151 51"
"hatsune_description","hatsune_description_0_event_id_1_type","562 6 3"
"campaign_freegacha",NULL,"17"
"clan_battle_recommend_data","clan_battle_recommend_data_0_recommend_group","9 3"
"arena_max_season_rank_reward",NULL,"118"
"unit_conversion","unit_conversion_0_unit_id","1 1"
"unit_promotion_status","sqlite_autoindex_unit_promotion_status_1","3320 20 1"
"unit_comments","unit_comments_0_unit_id_1_use_type","2562 6 4"
"unit_comments","unit_comments_0_unit_id","2562 6"
"dear_story_data","dear_story_data_0_value","17 1"
"quest_area_data",NULL,"124"
"unique_equipment_data",NULL,"147"
"omp_drama","omp_drama_0_drama_id","601 67"
"arena_daily_rank_reward",NULL,"40"
"room_change",NULL,"1"
"chara_fortune_rail",NULL,"109"
"story_character_mask",NULL,"645"
"tips",NULL,"94"
"ttk_score",NULL,"4"
"tower_area_data",NULL,"32"
"event_boss_treasure_content",NULL,"1869"
"shiori_unlock_unit_condition","shiori_unlock_unit_condition_0_condition_mission_id","16 1"
"shiori_unlock_unit_condition","shiori_unlock_unit_condition_0_unit_id_1_event_id","16 1 1"
"hatsune_limit_chara",NULL,"5"
"hatsune_quiz_condition","hatsune_quiz_condition_0_event_id_1_quiz_id","12 6 2"
"hatsune_mission_reward_data","hatsune_mission_reward_data_0_mission_reward_id","6203 2"
"sd_navi_comment",NULL,"12"
"experience_team",NULL,"197"
"unique_equip_enhance_rate","unique_equip_enhance_rate_0_equipment_id","147 1"
"sekai_boss_damage_rank_reward",NULL,"15"
"secret_dungeon_floor_reward","secret_dungeon_floor_reward_0_dungeon_area_id","10 10"
"secret_dungeon_floor_reward","sqlite_autoindex_secret_dungeon_floor_reward_1","10 10 1"
"grand_arena_max_rank_reward",NULL,"79"
"combined_result_motion",NULL,"1"
"unit_profile",NULL,"198"
"specialfes_banner",NULL,"19"
"psy_drama",NULL,"11"
"ttk_weapon","ttk_weapon_0_ttk_score","4 1"
"tower_wave_group_data",NULL,"787"
"mhp_story_data","mhp_story_data_0_unit_id","17 3"
"mhp_story_data","mhp_story_data_0_original_event_id","17 17"
"login_bonus_data",NULL,"27"
"unit_attack_pattern",NULL,"1628"
"chara_story_status",NULL,"846"
"visual_customize",NULL,"13"
"apa_schedule",NULL,"1"
"hatsune_emblem_mission","hatsune_emblem_mission_0_event_id","117 5"
"sekai_top_story_data","sekai_top_story_data_0_sekai_id","4 4"
"clan_grade",NULL,"10"
"room_item_get_announcement",NULL,"6"
"exceed_level_unit","exceed_level_unit_0_unit_id","192 1"
"exceed_level_unit","sqlite_autoindex_exceed_level_unit_1","192 1 1"
"bg_data","sqlite_autoindex_bg_data_1","163 1"
"ttk_enemy",NULL,"8"
"chara_fortune_scenario",NULL,"30"
"skill_data",NULL,"3450"
"love_chara",NULL,"12"
"nop_drama_data","nop_drama_data_0_stage_id","18 6"
"hatsune_boss","hatsune_boss_0_wave_group_id_1","279 2"
"hatsune_boss","hatsune_boss_0_event_id_1_difficulty","279 5 1"
"hatsune_boss","hatsune_boss_0_event_id","279 5"
"clan_battle_boss_damage_rank","clan_battle_boss_damage_rank_0_damage_rank_id","160 4"
"clan_battle_boss_damage_rank","sqlite_autoindex_clan_battle_boss_damage_rank_1","160 4 1 1"
"wave_group_data",NULL,"5499"
"campaign_mission_category","campaign_mission_category_0_campaign_id_1_type","4 2 1"
"equipment_enhance_rate",NULL,"432"
"legion_schedule",NULL,"1"
"kaiser_restriction_group","kaiser_restriction_group_0_restriction_group_id","102 21"
"kaiser_restriction_group","sqlite_autoindex_kaiser_restriction_group_1","102 21 1"
"srt_top_talk","srt_top_talk_0_talk_id","45 2"
"srt_panel","srt_panel_0_version","438 438"
"srt_panel","srt_panel_0_panel_id","438 4"
"nyx_drama_data",NULL,"10"
"skip_boss_data",NULL,"168"
"global_data","sqlite_autoindex_global_data_1","2 1"
"ttk_navi_comment",NULL,"13"
"series_unlock_condition",NULL,"5"
"hatsune_quiz_reward",NULL,"8"
"campaign_beginner_data",NULL,"6"
"tower_story_data",NULL,"17"
"equipment_enhance_data","sqlite_autoindex_equipment_enhance_data_1","29 5 1"
"pct_result","pct_result_0_character_id","4 2"
"shop_static_price_group",NULL,"6"
"event_bg_data",NULL,"1"
"wac_drama_script","wac_drama_script_0_drama_id","5370 14"
"birthday_login_bonus_detail","birthday_login_bonus_detail_0_login_bonus_id","153 2"
"profile_frame",NULL,"11"
"seasonpass_level_reward",NULL,"100"
"psy_note",NULL,"66"
"event_effect_setting","sqlite_autoindex_event_effect_setting_1","92 3 1"
"grand_arena_defence_reward",NULL,"1"
"chara_fortune_schedule",NULL,"8"
"unit_mypage_pos",NULL,"36"
"unlock_unit_condition",NULL,"150"
"daily_mission_data",NULL,"402"
"equipment_donation",NULL,"9"
"equipment_data",NULL,"834"
"trial_battle_category",NULL,"5"
"wac_mural_bg_data","sqlite_autoindex_wac_mural_bg_data_1","136 136 1"
"taq_genre",NULL,"6"
"hatsune_map_event","hatsune_map_event_0_target_event_id","127 8"
"movie","movie_0_story_id","397 2"
"exceed_level_stage",NULL,"1"
"chara_identity",NULL,"201"
"ub_auto_data",NULL,"19"
"define_spskill","define_spskill_0_sp_skill_id","8 1"
"character_love_rankup_text",NULL,"42"
"trial_battle_mission_reward","trial_battle_mission_reward_0_mission_reward_id","2 2"
"taq_completion_rewards",NULL,"3"
"srt_action","sqlite_autoindex_srt_action_1","41 1"
"shiori_item",NULL,"14"
"dungeon_area",NULL,"7"
"arena_defence_reward",NULL,"1"
"stationary_mission_data",NULL,"1392"
"banner",NULL,"151"
"cgg_gacha_lineup","cgg_gacha_lineup_0_gacha_type","60 20"
"lto_story_data","lto_story_data_0_event_id","1 1"
"dear_chara","dear_chara_0_event_id","50 3"
"dear_chara","sqlite_autoindex_dear_chara_1","50 3 1"
"secret_dungeon_emblem_reward","secret_dungeon_emblem_reward_0_reward_id","5 1"
"secret_dungeon_emblem_reward","secret_dungeon_emblem_reward_0_mission_reward_id","5 1"
"sp_detail_voice",NULL,"3"
"unit_enemy_data",NULL,"1208"
"unique_equipment_enhance_data","sqlite_autoindex_unique_equipment_enhance_data_1","239 239 1"
"kmk_navi_comment",NULL,"11"
"ske_story_data","ske_story_data_0_original_event_id","12 6"
"unique_equipment_enhance_rate",NULL,"147"
"wac_mural_data","wac_mural_data_0_mural_group_id","48 12"
"wac_mural_data","sqlite_autoindex_wac_mural_data_1","48 12 1"
"hatsune_item",NULL,"94"
"unit_motion_list",NULL,"194"
"dodge_tp_recovery",NULL,"41"
"unique_equipment_rankup","unique_equipment_rankup_0_equip_id","2352 16"
"unique_equipment_rankup","sqlite_autoindex_unique_equipment_rankup_1","2352 16 1"
"hatsune_emblem_mission_reward","hatsune_emblem_mission_reward_0_reward_id","348 2"
"hatsune_emblem_mission_reward","hatsune_emblem_mission_reward_0_mission_reward_id","348 2"
"pkb_navi_comment",NULL,"33"
"hatsune_schedule","hatsune_schedule_0_original_event_id","66 3"
"hatsune_schedule","hatsune_schedule_0_series_event_id","66 17"
"prizegacha_sp_detail",NULL,"4"
"room_character_personality",NULL,"202"
"guild_additional_member",NULL,"1"
"unit_promotion","unit_promotion_0_unit_id","4400 20"
"unit_promotion","sqlite_autoindex_unit_promotion_1","4400 20 1"
"item_data",NULL,"356"
"trial_battle_mission_data",NULL,"25"
"ttk_reward","ttk_reward_0_ttk_score","2 1"
"event_navi_comment_condition",NULL,"906"
"shiori_quest_condition",NULL,"280"
"clan_battle_s_boss_fix_reward",NULL,"558"
"secret_dungeon_floor_setting","secret_dungeon_floor_setting_0_quest_id_1_mode","50 2 2"
"secret_dungeon_floor_setting","secret_dungeon_floor_setting_0_quest_id","50 2"
"e_reduction",NULL,"9"
"reward_collect_guide",NULL,"426"
