d1fcda0c72a5b5c9ffbcaae721abec24ed30501906645bc91d95447b8f638792,ec403d1e9381933f524741ac7ddf428a5befc2d3c39d260c53de8d3da096f8a9,a160b8330166061b27e664c49d628baff4e9451336fbcd00ae951039aaf7a2d7,4cca6da2ff569548f090dac0c1ffbc0bea98cc1f0a57210018495c29bef5a839,83f3da75d611414adab2d87b401ab7ba01960c3a1e6b7762fb1004f4e5a74d3c,e480e130c3d0a62fd77dd5076eb35a683192444ca1e34fead9d659bfbef9b174,d6e831befca81c68b28a8a7754194dfd5bb4ad15f241269d34a2484beb9eaa06,cd8e8932b54fed00fc8f881659268f2a872963bbf45e3b598b348fba297a8cf2,b1a5fca50d062c263940b67e553ea8ebddbcf9962a0e46507c033eaca9f8038e,8716601f73f94d1bd493b737e5c1b40a3f88395ee36e9049b0049f6f36bb4f74,74e9c9056952a6d610caa5a3c4b3f2b554d47810d8f4a4b0b90257f9c8a21593,63a35a12b8fa6851b5807d4151502aebf47dbf07ec42ed01d678cb07b933c5b1,b63bb51898a4555131dc8cb1e22b47b33060c30f4b3ce5777d186068d15e46c6,2d4ef2451c62ddf85cf807bf7a6c881677ab8114c04f0dd74d257373d41a2aee
47,32,2000.0,102,30,1,-1,"2020/7/29 5:00","2020/8/4 4:59",0,0,0,0,1
48,42,2000.0,102,40,1,-1,"2020/7/29 5:00","2020/8/4 4:59",0,0,0,0,1
49,34,2000.0,103,30,1,-1,"2020/8/2 5:00","2020/8/12 4:59",0,0,0,0,1
50,44,2000.0,103,40,1,-1,"2020/8/2 5:00","2020/8/12 4:59",0,0,0,0,1
51,151,2000.0,6004,80,1,-1,"2020/8/3 11:00","2020/8/22 23:59",0,0,0,0,1
52,152,2000.0,6005,80,1,-1,"2020/8/3 11:00","2020/8/22 23:59",0,0,0,0,1
53,131,2000.0,6004,30,1,-1,"2020/8/3 11:00","2020/8/7 4:59",0,0,0,0,1
54,141,2000.0,6004,40,1,-1,"2020/8/3 11:00","2020/8/7 4:59",0,0,0,0,1
55,132,2000.0,6005,30,1,-1,"2020/8/3 11:00","2020/8/7 4:59",0,0,0,0,1
56,142,2000.0,6005,40,1,-1,"2020/8/3 11:00","2020/8/7 4:59",0,0,0,0,1
57,45,2000.0,104,40,1,-1,"2020/8/11 5:00","2020/8/21 4:59",0,0,0,0,1
58,34,3000.0,103,30,1,-1,"2020/8/13 5:00","2020/8/19 4:59",0,0,0,0,1
59,44,3000.0,103,40,1,-1,"2020/8/13 5:00","2020/8/19 4:59",0,0,0,0,1
60,31,3000.0,101,30,1,-1,"2020/8/19 5:00","2020/8/24 4:59",0,0,0,0,1
61,41,3000.0,101,40,1,-1,"2020/8/19 5:00","2020/8/24 4:59",0,0,0,0,1
62,32,3000.0,102,30,1,-1,"2020/8/24 5:00","2020/8/30 4:59",0,0,0,0,1
63,42,3000.0,102,40,1,-1,"2020/8/24 5:00","2020/8/30 4:59",0,0,0,0,1
64,34,2000.0,103,30,1,-1,"2020/8/30 5:00","2020/9/8 4:59",0,0,0,0,1
65,44,2000.0,103,40,1,-1,"2020/8/30 5:00","2020/9/8 4:59",0,0,0,0,1
66,151,2000.0,6004,80,1,-1,"2020/8/30 11:00","2020/9/19 23:59",0,0,0,0,1
67,152,2000.0,6005,80,1,-1,"2020/8/30 11:00","2020/9/19 23:59",0,0,0,0,1
68,131,2000.0,6004,30,1,-1,"2020/8/30 11:00","2020/9/3 4:59",0,0,0,0,1
69,141,2000.0,6004,40,1,-1,"2020/8/30 11:00","2020/9/3 4:59",0,0,0,0,1
70,132,2000.0,6005,30,1,-1,"2020/8/30 11:00","2020/9/3 4:59",0,0,0,0,1
71,142,2000.0,6005,40,1,-1,"2020/8/30 11:00","2020/9/3 4:59",0,0,0,0,1
72,45,2000.0,104,40,1,-1,"2020/9/8 5:00","2020/9/17 4:59",0,0,0,0,1
73,31,2000.0,101,30,1,-1,"2020/9/17 5:00","2020/9/22 4:59",0,0,0,0,1
74,41,2000.0,101,40,1,-1,"2020/9/17 5:00","2020/9/22 4:59",0,0,0,0,1
75,32,2000.0,102,30,1,-1,"2020/9/22 5:00","2020/9/28 4:59",0,0,0,0,1
76,42,2000.0,102,40,1,-1,"2020/9/22 5:00","2020/9/28 4:59",0,0,0,0,1
77,34,2000.0,103,30,1,-1,"2020/9/28 5:00","2020/10/8 4:59",0,0,0,0,1
78,44,2000.0,103,40,1,-1,"2020/9/28 5:00","2020/10/8 4:59",0,0,0,0,1
79,151,2000.0,6004,80,1,-1,"2020/9/28 9:00","2020/10/17 23:59",0,0,0,0,1
80,152,2000.0,6005,80,1,-1,"2020/9/28 9:00","2020/10/17 23:59",0,0,0,0,1
81,131,2000.0,6004,30,1,-1,"2020/9/28 9:00","2020/10/1 4:59",0,0,0,0,1
82,141,2000.0,6004,40,1,-1,"2020/9/28 9:00","2020/10/1 4:59",0,0,0,0,1
83,132,2000.0,6005,30,1,-1,"2020/9/28 9:00","2020/10/1 4:59",0,0,0,0,1
84,142,2000.0,6005,40,1,-1,"2020/9/28 9:00","2020/10/1 4:59",0,0,0,0,1
85,37,2000.0,109,30,1,-1,"2020/10/1 5:00","2020/10/8 4:59",0,0,0,0,1
86,45,2000.0,104,40,1,-1,"2020/10/8 5:00","2020/10/17 4:59",0,0,0,0,1
87,31,3000.0,101,30,1,-1,"2020/10/15 5:00","2020/10/20 4:59",0,0,0,0,1
88,41,3000.0,101,40,1,-1,"2020/10/15 5:00","2020/10/20 4:59",0,0,0,0,1
89,32,3000.0,102,30,1,-1,"2020/10/20 5:00","2020/10/26 4:59",0,0,0,0,1
90,42,3000.0,102,40,1,-1,"2020/10/20 5:00","2020/10/26 4:59",0,0,0,0,1
91,34,3000.0,103,30,1,-1,"2020/10/26 5:00","2020/11/6 4:59",0,0,0,0,1
92,44,3000.0,103,40,1,-1,"2020/10/26 5:00","2020/11/6 4:59",0,0,0,0,1
93,151,2000.0,6004,80,1,-1,"2020/10/26 11:00","2020/11/14 23:59",0,0,0,0,1
94,152,2000.0,6005,80,1,-1,"2020/10/26 11:00","2020/11/14 23:59",0,0,0,0,1
95,131,2000.0,6004,30,1,-1,"2020/10/26 11:00","2020/10/29 4:59",0,0,0,0,1
96,141,2000.0,6004,40,1,-1,"2020/10/26 11:00","2020/10/29 4:59",0,0,0,0,1
97,132,2000.0,6005,30,1,-1,"2020/10/26 11:00","2020/10/29 4:59",0,0,0,0,1
98,142,2000.0,6005,40,1,-1,"2020/10/26 11:00","2020/10/29 4:59",0,0,0,0,1
99,31,2000.0,101,30,1,-1,"2020/11/1 5:00","2020/11/6 4:59",0,0,0,0,1
100,41,2000.0,101,40,1,-1,"2020/11/1 5:00","2020/11/6 4:59",0,0,0,0,1
101,45,2000.0,104,40,1,-1,"2020/11/6 5:00","2020/11/16 4:59",0,0,0,0,1
102,31,2000.0,101,30,1,-1,"2020/11/12 5:00","2020/11/17 4:59",0,0,0,0,1
103,41,2000.0,101,40,1,-1,"2020/11/12 5:00","2020/11/17 4:59",0,0,0,0,1
104,32,2000.0,102,30,1,-1,"2020/11/17 5:00","2020/11/23 4:59",0,0,0,0,1
105,42,2000.0,102,40,1,-1,"2020/11/17 5:00","2020/11/23 4:59",0,0,0,0,1
106,34,2000.0,103,30,1,-1,"2020/11/23 5:00","2020/12/3 4:59",0,0,0,0,1
107,44,2000.0,103,40,1,-1,"2020/11/23 5:00","2020/12/3 4:59",0,0,0,0,1
108,151,2000.0,6004,80,1,-1,"2020/11/23 11:00","2020/12/7 23:59",0,0,0,0,1
109,152,2000.0,6005,80,1,-1,"2020/11/23 11:00","2020/12/7 23:59",0,0,0,0,1
110,45,2000.0,104,40,1,-1,"2020/12/3 5:00","2020/12/13 4:59",0,0,0,0,1
111,31,2000.0,101,30,1,-1,"2020/12/10 5:00","2020/12/15 4:59",0,0,0,0,1
112,41,2000.0,101,40,1,-1,"2020/12/10 5:00","2020/12/15 4:59",0,0,0,0,1
113,32,2000.0,102,30,1,-1,"2020/12/15 5:00","2020/12/20 4:59",0,0,0,0,1
114,42,2000.0,102,40,1,-1,"2020/12/15 5:00","2020/12/20 4:59",0,0,0,0,1
115,34,2000.0,103,30,1,-1,"2020/12/20 5:00","2020/12/30 4:59",0,0,0,0,1
116,44,2000.0,103,40,1,-1,"2020/12/20 5:00","2020/12/30 4:59",0,0,0,0,1
117,45,2000.0,104,40,1,-1,"2020/12/30 5:00","2021/1/9 4:59",0,0,0,0,1
118,151,2000.0,6004,80,1,-1,"2020/12/20 11:00","2021/1/3 23:59",0,0,0,0,1
119,152,2000.0,6005,80,1,-1,"2020/12/20 11:00","2021/1/3 23:59",0,0,0,0,1
120,31,2000.0,101,30,1,-1,"2021/1/9 5:00","2021/1/14 4:59",0,0,0,0,1
121,41,2000.0,101,40,1,-1,"2021/1/9 5:00","2021/1/14 4:59",0,0,0,0,1
122,32,2000.0,102,30,1,-1,"2021/1/14 5:00","2021/1/19 4:59",0,0,0,0,1
123,42,2000.0,102,40,1,-1,"2021/1/14 5:00","2021/1/19 4:59",0,0,0,0,1
124,151,2000.0,6004,80,1,-1,"2021/1/18 9:00","2021/2/1 23:59",0,0,0,0,1
125,152,2000.0,6005,80,1,-1,"2021/1/18 9:00","2021/2/1 23:59",0,0,0,0,1
126,34,2000.0,103,30,1,-1,"2021/1/19 5:00","2021/1/29 4:59",0,0,0,0,1
127,44,2000.0,103,40,1,-1,"2021/1/19 5:00","2021/1/29 4:59",0,0,0,0,1
128,45,2000.0,104,40,1,-1,"2021/1/29 5:00","2021/2/8 4:59",0,0,0,0,1
129,31,2000.0,101,30,1,-1,"2021/1/27 5:00","2021/2/2 4:59",0,0,0,0,1
130,41,2000.0,101,40,1,-1,"2021/1/27 5:00","2021/2/2 4:59",0,0,0,0,1
131,31,3000.0,101,30,1,-1,"2021/2/2 5:00","2021/2/10 4:59",0,0,0,0,1
132,41,3000.0,101,40,1,-1,"2021/2/2 5:00","2021/2/10 4:59",0,0,0,0,1
133,32,3000.0,102,30,1,-1,"2021/2/10 5:00","2021/2/14 4:59",0,0,0,0,1
134,42,3000.0,102,40,1,-1,"2021/2/10 5:00","2021/2/14 4:59",0,0,0,0,1
135,34,3000.0,103,30,1,-1,"2021/2/11 5:00","2021/2/21 4:59",0,0,0,0,1
136,44,3000.0,103,40,1,-1,"2021/2/11 5:00","2021/2/21 4:59",0,0,0,0,1
137,31,2000.0,101,30,1,-1,"2021/2/21 5:00","2021/2/26 4:59",0,0,0,0,1
138,41,2000.0,101,40,1,-1,"2021/2/21 5:00","2021/2/26 4:59",0,0,0,0,1
139,31,3000.0,101,30,1,-1,"2021/2/26 5:00","2021/3/9 4:59",0,0,0,0,1
140,41,3000.0,101,40,1,-1,"2021/2/26 5:00","2021/3/9 4:59",0,0,0,0,1
141,45,2000.0,104,40,1,-1,"2021/2/22 5:00","2021/3/4 4:59",0,0,0,0,1
142,151,2000.0,6004,80,1,-1,"2021/2/14 11:00","2021/2/28 23:59",0,0,0,0,1
143,152,2000.0,6005,80,1,-1,"2021/2/14 11:00","2021/2/28 23:59",0,0,0,0,1
144,32,3000.0,102,30,1,-1,"2021/3/9 5:00","2021/3/15 4:59",0,0,0,0,1
145,42,3000.0,102,40,1,-1,"2021/3/9 5:00","2021/3/15 4:59",0,0,0,0,1
146,34,2000.0,103,30,1,-1,"2021/3/15 5:00","2021/3/25 4:59",0,0,0,0,1
147,44,2000.0,103,40,1,-1,"2021/3/15 5:00","2021/3/25 4:59",0,0,0,0,1
148,45,2000.0,104,40,1,-1,"2021/3/25 5:00","2021/4/4 4:59",0,0,0,0,1
149,151,2000.0,6004,80,1,-1,"2021/3/15 11:00","2021/3/29 23:59",0,0,0,0,1
150,152,2000.0,6005,80,1,-1,"2021/3/15 11:00","2021/3/29 23:59",0,0,0,0,1
151,34,2000.0,103,30,1,-1,"2021/4/1 5:00","2021/4/6 4:59",0,0,0,0,1
152,44,2000.0,103,40,1,-1,"2021/4/1 5:00","2021/4/6 4:59",0,0,0,0,1
153,34,2000.0,103,30,1,-1,"2021/4/17 5:00","2021/4/27 4:59",0,0,0,0,1
154,44,2000.0,103,40,1,-1,"2021/4/17 5:00","2021/4/27 4:59",0,0,0,0,1
155,31,2000.0,101,30,1,-1,"2021/4/1 5:00","2021/4/8 4:59",0,0,0,0,1
156,41,2000.0,101,40,1,-1,"2021/4/1 5:00","2021/4/8 4:59",0,0,0,0,1
157,37,2000.0,109,30,1,-1,"2021/4/8 5:00","2021/4/13 4:59",0,0,0,0,1
158,32,2000.0,102,30,1,-1,"2021/4/8 5:00","2021/4/13 4:59",0,0,0,0,1
159,42,2000.0,102,40,1,-1,"2021/4/8 5:00","2021/4/13 4:59",0,0,0,0,1
160,31,2000.0,101,30,1,-1,"2021/4/13 5:00","2021/4/17 4:59",0,0,0,0,1
161,41,2000.0,101,40,1,-1,"2021/4/13 5:00","2021/4/17 4:59",0,0,0,0,1
162,45,2000.0,104,40,1,-1,"2021/4/22 5:00","2021/5/2 4:59",0,0,0,0,1
163,31,2000.0,101,30,1,-1,"2021/4/22 5:00","2021/4/25 4:59",0,0,0,0,1
164,41,2000.0,101,40,1,-1,"2021/4/22 5:00","2021/4/25 4:59",0,0,0,0,1
165,37,2000.0,109,30,1,-1,"2021/4/25 5:00","2021/4/29 4:59",0,0,0,0,1
166,151,2000.0,6004,80,1,-1,"2021/4/17 9:00","2021/5/1 23:59",0,0,0,0,1
167,152,2000.0,6005,80,1,-1,"2021/4/17 9:00","2021/5/1 23:59",0,0,0,0,1
168,31,3000.0,101,30,1,-1,"2021/5/2 5:00","2021/5/7 4:59",0,0,0,0,1
169,41,3000.0,101,40,1,-1,"2021/5/2 5:00","2021/5/7 4:59",0,0,0,0,1
170,34,2000.0,103,30,1,-1,"2021/5/7 5:00","2021/5/11 4:59",0,0,0,0,1
171,44,2000.0,103,40,1,-1,"2021/5/7 5:00","2021/5/11 4:59",0,0,0,0,1
172,32,3000.0,102,30,1,-1,"2021/5/7 5:00","2021/5/12 4:59",0,0,0,0,1
173,42,3000.0,102,40,1,-1,"2021/5/7 5:00","2021/5/12 4:59",0,0,0,0,1
174,31,2000.0,101,30,1,-1,"2021/5/12 5:00","2021/5/15 4:59",0,0,0,0,1
175,41,2000.0,101,40,1,-1,"2021/5/12 5:00","2021/5/15 4:59",0,0,0,0,1
176,34,2000.0,103,30,1,-1,"2021/5/15 5:00","2021/5/20 4:59",0,0,0,0,1
177,44,2000.0,103,40,1,-1,"2021/5/15 5:00","2021/5/20 4:59",0,0,0,0,1
178,32,2000.0,102,30,1,-1,"2021/5/15 5:00","2021/5/22 4:59",0,0,0,0,1
179,42,2000.0,102,40,1,-1,"2021/5/15 5:00","2021/5/22 4:59",0,0,0,0,1
180,251,2000.0,7004,80,1,-1,"2021/5/4 11:00","2021/5/11 23:59",0,0,0,0,1
181,252,2000.0,7005,80,1,-1,"2021/5/4 11:00","2021/5/11 23:59",0,0,0,0,1
182,151,2000.0,6004,80,1,-1,"2021/5/15 9:00","2021/5/27 23:59",0,0,0,0,1
183,152,2000.0,6005,80,1,-1,"2021/5/15 9:00","2021/5/27 23:59",0,0,0,0,1
184,45,2000.0,104,40,1,-1,"2021/5/20 5:00","2021/5/25 4:59",0,0,0,0,1
185,34,2000.0,103,30,1,-1,"2021/5/25 5:00","2021/5/29 4:59",0,0,0,0,1
186,44,2000.0,103,40,1,-1,"2021/5/25 5:00","2021/5/29 4:59",0,0,0,0,1
187,31,2000.0,101,30,1,-1,"2021/5/25 5:00","2021/5/28 4:59",0,0,0,0,1
188,41,2000.0,101,40,1,-1,"2021/5/25 5:00","2021/5/28 4:59",0,0,0,0,1
189,37,2000.0,109,30,1,-1,"2021/5/28 5:00","2021/6/1 4:59",0,0,0,0,1
190,34,2000.0,103,30,1,-1,"2021/5/31 5:00","2021/6/5 4:59",0,0,0,0,1
191,44,2000.0,103,40,1,-1,"2021/5/31 5:00","2021/6/5 4:59",0,0,0,0,1
192,31,2000.0,101,30,1,-1,"2021/6/1 5:00","2021/6/8 4:59",0,0,0,0,1
193,41,2000.0,101,40,1,-1,"2021/6/1 5:00","2021/6/8 4:59",0,0,0,0,1
194,45,2000.0,104,40,1,-1,"2021/5/29 5:00","2021/6/8 4:59",0,0,0,0,1
195,251,2000.0,7004,80,1,-1,"2021/5/28 9:00","2021/6/4 23:59",0,0,0,0,1
196,252,2000.0,7005,80,1,-1,"2021/5/28 9:00","2021/6/4 23:59",0,0,0,0,1
197,32,2000.0,102,30,1,-1,"2021/6/8 5:00","2021/6/14 4:59",0,0,0,0,1
198,42,2000.0,102,40,1,-1,"2021/6/8 5:00","2021/6/14 4:59",0,0,0,0,1
199,34,2000.0,103,30,1,-1,"2021/6/14 5:00","2021/6/25 4:59",0,0,0,0,1
200,44,2000.0,103,40,1,-1,"2021/6/14 5:00","2021/6/25 4:59",0,0,0,0,1
201,31,2000.0,101,30,1,-1,"2021/6/19 5:00","2021/6/23 4:59",0,0,0,0,1
202,41,2000.0,101,40,1,-1,"2021/6/19 5:00","2021/6/23 4:59",0,0,0,0,1
203,31,2000.0,101,30,1,-1,"2021/6/26 5:00","2021/7/4 4:59",0,0,0,0,1
204,41,2000.0,101,40,1,-1,"2021/6/26 5:00","2021/7/4 4:59",0,0,0,0,1
205,45,2000.0,104,40,1,-1,"2021/6/23 5:00","2021/7/3 4:59",0,0,0,0,1
206,34,2000.0,103,30,1,-1,"2021/6/27 5:00","2021/7/1 4:59",0,0,0,0,1
207,44,2000.0,103,40,1,-1,"2021/6/27 5:00","2021/7/1 4:59",0,0,0,0,1
208,151,2000.0,6004,80,1,-1,"2021/6/14 11:00","2021/6/26 23:59",0,0,0,0,1
209,152,2000.0,6005,80,1,-1,"2021/6/14 11:00","2021/6/26 23:59",0,0,0,0,1
210,37,2000.0,109,30,1,-1,"2021/7/3 5:00","2021/7/9 4:59",0,0,0,0,1
211,32,2000.0,102,30,1,-1,"2021/7/3 5:00","2021/7/9 4:59",0,0,0,0,1
212,42,2000.0,102,40,1,-1,"2021/7/3 5:00","2021/7/9 4:59",0,0,0,0,1
213,31,2000.0,101,30,1,-1,"2021/7/9 5:00","2021/7/12 4:59",0,0,0,0,1
214,41,2000.0,101,40,1,-1,"2021/7/9 5:00","2021/7/12 4:59",0,0,0,0,1
215,34,2000.0,103,30,1,-1,"2021/7/12 5:00","2021/7/18 4:59",0,0,0,0,1
216,44,2000.0,103,40,1,-1,"2021/7/12 5:00","2021/7/18 4:59",0,0,0,0,1
217,251,2000.0,7004,80,1,-1,"2021/6/28 9:00","2021/7/5 23:59",0,0,0,0,1
218,252,2000.0,7005,80,1,-1,"2021/6/28 9:00","2021/7/5 23:59",0,0,0,0,1
219,31,2000.0,101,30,1,-1,"2021/7/15 5:00","2021/7/20 4:59",0,0,0,0,1
220,41,2000.0,101,40,1,-1,"2021/7/15 5:00","2021/7/20 4:59",0,0,0,0,1
221,37,2000.0,109,30,1,-1,"2021/7/20 5:00","2021/7/24 4:59",0,0,0,0,1
222,45,2000.0,104,40,1,-1,"2021/7/22 5:00","2021/8/1 4:59",0,0,0,0,1
223,151,2000.0,6004,80,1,-1,"2021/7/12 11:00","2021/7/26 23:59",0,0,0,0,1
224,152,2000.0,6005,80,1,-1,"2021/7/12 11:00","2021/7/26 23:59",0,0,0,0,1
225,34,2000.0,103,30,1,-1,"2021/7/24 5:00","2021/8/2 4:59",0,0,0,0,1
226,44,2000.0,103,40,1,-1,"2021/7/24 5:00","2021/8/2 4:59",0,0,0,0,1
227,31,2000.0,101,30,1,-1,"2021/7/24 5:00","2021/7/31 4:59",0,0,0,0,1
228,41,2000.0,101,40,1,-1,"2021/7/24 5:00","2021/7/31 4:59",0,0,0,0,1
229,32,2000.0,102,30,1,-1,"2021/7/31 5:00","2021/8/6 4:59",0,0,0,0,1
230,42,2000.0,102,40,1,-1,"2021/7/31 5:00","2021/8/6 4:59",0,0,0,0,1
231,37,2000.0,109,30,1,-1,"2021/8/3 5:00","2021/8/6 4:59",0,0,0,0,1
232,31,2000.0,101,30,1,-1,"2021/8/6 5:00","2021/8/9 4:59",0,0,0,0,1
233,41,2000.0,101,40,1,-1,"2021/8/6 5:00","2021/8/9 4:59",0,0,0,0,1
234,34,2000.0,103,30,1,-1,"2021/8/9 5:00","2021/8/15 4:59",0,0,0,0,1
235,44,2000.0,103,40,1,-1,"2021/8/9 5:00","2021/8/15 4:59",0,0,0,0,1
236,251,2000.0,7004,80,1,-1,"2021/7/27 9:00","2021/8/3 23:59",0,0,0,0,1
237,252,2000.0,7005,80,1,-1,"2021/7/27 9:00","2021/8/3 23:59",0,0,0,0,1
238,31,2000.0,101,30,1,-1,"2021/8/15 5:00","2021/8/20 4:59",0,0,0,0,1
239,41,2000.0,101,40,1,-1,"2021/8/15 5:00","2021/8/20 4:59",0,0,0,0,1
240,45,2000.0,104,40,1,-1,"2021/8/20 5:00","2021/8/30 4:59",0,0,0,0,1
241,34,2000.0,103,30,1,-1,"2021/8/21 5:00","2021/8/25 4:59",0,0,0,0,1
242,44,2000.0,103,40,1,-1,"2021/8/21 5:00","2021/8/25 4:59",0,0,0,0,1
243,31,3000.0,101,30,1,-1,"2021/8/21 5:00","2021/8/28 4:59",0,0,0,0,1
244,41,3000.0,101,40,1,-1,"2021/8/21 5:00","2021/8/28 4:59",0,0,0,0,1
245,151,2000.0,6004,80,1,-1,"2021/8/9 11:00","2021/8/22 23:59",0,0,0,0,1
246,152,2000.0,6005,80,1,-1,"2021/8/9 11:00","2021/8/22 23:59",0,0,0,0,1
247,37,2000.0,109,30,1,-1,"2021/8/28 5:00","2021/9/3 4:59",0,0,0,0,1
248,32,3000.0,102,30,1,-1,"2021/8/28 5:00","2021/9/3 4:59",0,0,0,0,1
249,42,3000.0,102,40,1,-1,"2021/8/28 5:00","2021/9/3 4:59",0,0,0,0,1
