event_id,teaser_time,start_time,end_time,close_time,background,sheet_id,que_id,banner_unit_id,count_start_time,backgroud_size_x,backgroud_size_y,backgroud_pos_x,backgroud_pos_y,original_event_id,series_event_id
10024,"2019/09/09 15:00:00","2019/09/16 12:00:00","2019/09/23 20:59:59","2019/09/25 14:59:59",500096,"bgm_M128","bgm_M128",104701,"2019/09/20 21:00:00",1768,1060,60,50,10006,0
10025,"2019/09/24 15:00:00","2019/09/30 12:00:00","2019/10/14 20:59:59","2019/10/18 14:59:59",505033,"bgm_M265","bgm_M265_Top",111201,"2019/10/10 21:00:00",1768,1060,60,50,0,0
10026,"2019/10/10 15:00:00","2019/10/16 12:00:00","2019/10/23 20:59:59","2019/10/25 14:59:59",500264,"bgm_M135","bgm_M135",108201,"2019/10/20 15:00:00",1768,1060,60,50,10007,0
10027,"2019/10/25 15:00:00","2019/10/31 12:00:00","2019/11/14 20:59:59","2019/11/18 14:59:59",500836,"bgm_M273","bgm_M273",100501,"2019/11/10 21:00:00",1800,1060,60,50,0,0
10028,"2019/11/08 15:00:00","2019/11/15 12:00:00","2019/11/22 20:59:59","2019/11/24 14:59:59",500143,"bgm_M162","bgm_M162",100901,"2019/11/19 21:00:00",1768,1060,60,50,10008,0
10029,"2019/11/25 15:00:00","2019/11/30 12:00:00","2019/12/14 20:59:59","2019/12/18 14:59:59",500880,"bgm_M281","bgm_M281",111601,"2019/12/10 21:00:00",1768,1060,60,50,0,0
10030,"2019/12/09 15:00:00","2019/12/16 12:00:00","2019/12/23 20:59:59","2019/12/25 14:59:59",500114,"bgm_M171","bgm_M171",108501,"2019/12/20 21:00:00",1768,1060,60,50,10009,0
10031,"2019/12/26 15:00:00","2019/12/31 12:00:00","2020/01/14 20:59:59","2020/01/18 14:59:59",500911,"bgm_M294","bgm_M294",112101,"2020/01/10 21:00:00",1768,1060,60,50,0,0
10032,"2020/01/10 15:00:00","2020/01/17 12:00:00","2020/01/24 20:59:59","2020/01/26 14:59:59",500553,"bgm_M182","bgm_M182",108901,"2020/01/21 21:00:00",1768,1060,60,50,10010,0
10033,"2020/01/24 15:00:00","2020/01/31 12:00:00","2020/02/13 20:59:59","2020/02/17 14:59:59",500016,"bgm_M316","bgm_M316",112301,"2020/02/10 21:00:00",1768,1060,60,50,0,0
10034,"2020/02/10 15:00:00","2020/02/15 12:00:00","2020/02/22 20:59:59","2020/02/24 14:59:59",500600,"bgm_M189","bgm_M189",109001,"2020/02/19 21:00:00",1768,1060,60,50,10011,0
